公司中文名称,年份,"流动资产周转率
[报告期] 2008年报
[单位] 次","应收账款周转率
[报告期] 2008年报
[单位] 次","财务费用
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元",产权比率,"流动比率
[报告期] 2008年报","速动比率
[报告期] 2008年报","现金比率
[报告期] 2008年报","经营活动现金净流量(TTM)
[报告期] 2008年报
[单位] 元","流动负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2008年报
[单位] %","利润总额(TTM)
[报告期] 2008年报
[单位] 元","非流动负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2008年报
[单位] 元","长期资本负债率
[报告期] 2008年报
[单位] %","现金流量利息保障倍数
[报告期] 2008年报","负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2008年报
[单位] %","总资产报酬率ROA
[报告期] 2008年报
[单位] %","主营业务成本
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2008年报
[单位] %","存货周转率
[报告期] 2008年报
[单位] 次","营运资本周转率
[报告期] 2008年报
[单位] 次","非流动资产周转率
[报告期] 2008年报
[单位] 次","总资产周转率
[报告期] 2008年报
[单位] 次","成本费用利润率
[报告期] 2008年报
[单位] %","营业收入(同比增长率)
[报告期] 2008年报
[单位] %","总资产(同比增长率)
[报告期] 2008年报
[单位] %","大股东持股比例
[日期] 2009-03-01
[大股东排名] 第1名
[单位] 1%","无形资产
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2008年报
[单位] 元"
渤海汽车系统股份有限公司,2010,1.32,4.96,60200034.1,1767510616,1.57,1.29,1,0.61,285940587.8,1070924198,61.15,148942543.5,197771450,806179649.5,59158141.03,19.8,4.56,1268695648,8.43,10.26,1362838421,8862328.15,15.23,4.86,5.9,2.55,0.87,7.77,44.49,4.77,49.67,11852786.62,2074875297,122245887.6
兴民智通(集团)股份有限公司,2010,1.62,18.35,1352894.56,1339552389,0.51,1.94,1.29,0.92,-109600817.1,591800379.7,33.61,128783952.4,5000000,1178753134,-1495034.68,0.43,-26.86,596800379.7,9.61,9.81,1121612723,2470087.4,8.29,4.11,4.2,2.85,1.03,7.96,25.47,116.47,43.5,25171333.87,1775553514,96111978.8
浙江仙通橡塑股份有限公司,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常州光洋轴承股份有限公司,2010,1.48,3.71,9075521.49,562472689.3,0.75,1.66,1.03,0.34,-14542493.06,257949544.8,42.83,71211233.51,,344264242.6,8862078.75,,-1.56,257949544.8,12.66,14.73,381736268.8,2346334.21,17.12,2.86,4.32,3.46,1.03,12.03,47.88,24.17,,15629580.96,602213787.4,58637327.7
中原内配集团股份有限公司,2010,1.43,9.82,11720873.11,822236590.4,0.39,3.73,2.67,1.87,26321308.66,218470974.6,28.17,126425964.1,130560901.7,890084231.9,8324372.9,12.81,2.39,349031876.3,15.38,13.89,554236949,5935468.75,11.71,2.85,2.67,2.08,0.85,14.85,32.11,76.76,24.4,59028747.41,1239116108,103993265
华懋(厦门)新材料科技股份有限公司,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凌云工业股份有限公司,2010,1.33,5.58,32815362.21,3431125121,0.7,2.03,1.44,0.88,226492186.7,1587356287,41.32,477144619.3,136937990.7,2448961895,29677468.48,7,6.73,1724294277,13.91,14.92,2595512101,3755966.72,13.85,3.5,2.85,4.15,1.01,13.58,36.7,59.16,34.11,82786814.45,4173256172,401405148.5
力帆实业(集团)股份有限公司,2010,1.23,7.68,95659033.21,6770774187,1.13,1.78,1.57,1.25,173104657.5,4113260830,52.98,442946072.3,1263780106,4772421636,47203735.83,21.13,2.48,5377040936,6.54,6.13,5521604633,108528326.5,8.1,6.96,3.73,2.73,0.85,6.1,27.05,73.34,65.02,417623858.3,10149462572,380054515.1
浙江世纪华通集团股份有限公司,2010,2.04,4.83,13571483.2,907986860.4,1.16,1.1,0.7,0.19,96173109.58,444394833.8,53.64,181873809.2,30000000,409959037.8,10523821.03,6.82,8.61,474394833.8,20.03,24.84,620456706.2,1635543.5,,3.8,19.24,2.75,1.17,21.79,59.71,32.99,,26750206.74,884353871.6,158785566.5
宁波继峰汽车零部件股份有限公司,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省西峡汽车水泵股份有限公司,2010,1.74,5.6,39641474.63,999262136.4,2.45,0.89,0.59,0.17,89957328.69,651242886.3,71.05,103544697,163726216.4,332039585.1,36993880.27,34.75,2.26,814969102.8,10.36,12.99,703915823.9,3292115.89,28.77,3.78,,1.96,0.92,10.48,48.72,12.73,43.18,70732947.41,1147008688,93970632.82
浙江万安科技股份有限公司,2010,1.71,8.16,14480031.02,867622633.5,2.47,0.87,0.58,0.36,65646867.56,696252092.1,71.2,98968648.98,13819109.16,287168185.5,12905550.13,4.94,4.51,710071201.3,11.41,13.48,596834277.7,3826394.54,,3.67,,2.68,1.05,11.07,42.61,50.55,,112804411.7,997239386.8,84471402.52
桂林福达股份有限公司,2010,1.28,4.69,44163889.21,1329393368,4.21,1.05,0.83,0.29,201258924.4,1128721846,80.82,169304905.1,451700122.3,375181593.5,,55.29,,1580421969,12.74,12.61,970890594.1,5888554.16,,4.58,31.15,2.02,0.79,13.3,39.97,36.63,,101220887.2,1955603562,155061134.2
湖南机油泵股份有限公司,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬州亚星客车股份有限公司,2010,1.22,3.71,3910199.81,667335729.3,2.62,1.06,0.9,0.41,8955659.31,574876432.9,72.35,6588985.66,,219749372.3,4071200.56,,1.51,574876432.9,0.99,1.38,599923237,1853018.29,3,7.59,66.58,3.02,0.87,0.97,27.4,6.62,53.71,10078739.45,794625805.2,6588985.66
山东隆基机械股份有限公司,2010,1.39,5.27,21980370.54,923683440.3,0.78,1.52,1.12,0.7,-64410622.49,583217105.6,43.9,67995920.85,113000000,889757621.3,16923834.39,11.94,-3.13,696217105.6,7.36,6.8,756757857.6,48602.99,5.93,4.2,5.59,1.58,0.74,5.93,13.01,74.17,56.25,32042187.94,1585974727,50678398.46
南宁八菱科技股份有限公司,2010,1.78,9.78,4296927.53,465425419.8,0.94,1.57,1.21,0.92,55946472.51,191834890,48.55,75963852.45,31231830.14,236359562.9,4014260.61,11.67,12.63,223066720.1,16.32,19.12,347327809.2,2203583.86,,5.54,5.91,2.96,1.11,18.48,30.15,21.87,,20909238.2,459426283,72868597.36
长春一东离合器股份有限公司,2010,1.3,5.69,5358058.39,717714575.3,1.69,1.32,0.9,0.48,31874299.95,474521076.5,62.85,41377932.58,38744757.32,303343566.2,5084555.19,12.48,5.2,513265833.8,5.77,6.41,509675498.2,2202185.91,7.78,2.82,5.09,4.16,0.99,5.14,79.3,29.09,37.01,12842663.79,816609400,33717225.35
金杯汽车股份有限公司,2010,1.21,7.8,118942170,4674893784,9.74,0.92,0.77,0.54,140903014.9,4410079642,90.69,368492527,56025665.6,458470034.4,108188176.8,15.06,1.01,4466105308,7.88,9.79,4081890832,8807036.28,89.02,6.81,,4.58,0.96,7.25,13.87,2.23,24.38,176745410.1,4924575342,331087001.1
怀集登云汽配股份有限公司,2010,1.12,3.94,11626617.16,272202983.1,1.09,2.88,1.97,1.14,46358195.21,99838321.1,52.1,40885811.86,113480000,196109284.5,8042842.27,36.66,5.64,213318321.1,15.02,14.3,170049086.2,339348.28,17.38,2.16,1.74,2.76,0.8,14.71,44.64,48.89,,42126374.4,409427605.6,34074465.31
斯太尔动力股份有限公司,2010,1.37,4.27,5035407.99,550631469.1,1.29,1.24,0.91,0.42,12636845.4,289639227.3,56.25,12800492.22,29191700,247952139.3,6686949.77,13.92,1.7,318830927.3,2.32,3.16,480352259.8,1753650.66,2.35,4.62,18.52,2.55,0.89,1.11,-8.61,-14.96,9.65,11956204.98,566783066.6,5955300.26
江南模塑科技股份有限公司,2010,1.09,7.52,94246376.95,1970851341,3.23,0.73,0.55,0.33,117208554,2763430154,76.33,94268977.72,209106627.2,921700572.1,85274790.6,21.73,1.1,2972536782,4.78,4.89,1475595625,66291999.28,4.4,2.73,,1.06,0.54,3.47,14.1,12.72,34.72,57865036.73,3894237354,62298885.99
光启技术股份有限公司,2010,1.76,4.06,600565.59,189672474.1,0.3,2.69,2.07,0.9,37970237.05,49233305.63,23.04,48150596.07,,164468309.7,446844.32,,70.86,49233305.63,25.39,28.17,124049178.1,1048800.82,,4.82,4.1,2.92,1.1,27.76,19.97,62.75,,29168812.64,213701615.3,41575246.83
宁波双林汽车部件股份有限公司,2010,1.2,4.48,10195093.57,775887891.6,0.42,2.61,2.08,1.49,91700317.31,347912006.3,29.73,127546512.4,,822211574.9,7320796.87,,9.71,347912006.3,16.44,14.97,533436918.1,3980729.16,13.06,3.25,2.76,3.06,0.86,16.83,42.78,85.29,57.75,52143497.66,1170123581,107896899.6
厦门日上集团股份有限公司,2010,1.38,9.73,18430271.5,1070308606,1.92,1.23,0.67,0.29,92051444.2,787676010.6,65.73,102054400.8,45853028.3,434654219.9,8570099.75,9.54,8.42,833529038.9,9.54,10.79,873769359.5,1586851.05,,2.4,6.24,4.25,1.04,8.79,75.61,61.96,,67297819.13,1268183259,85590384.74
深圳市特尔佳科技股份有限公司,2010,0.95,4.69,-1313144.74,257136367.2,0.42,2.66,2.35,1.86,34636554.18,112473977.7,29.7,47214482.72,4325032.77,276438599,-1392604.38,1.54,,116799010.5,18.36,12.57,164137736.1,821832.93,14.6,5.3,1.49,2.75,0.71,19.23,54.87,17.09,26.24,6690131.33,393237609.5,40369979.55
天润曲轴股份有限公司,2010,1.32,6.49,9587737.05,1393393876,0.35,1.79,1.31,0.57,387620412.3,595431938.4,25.9,274157483.7,18280000,1755643150,7517775.68,1.06,38.16,613711938.4,19.68,13.01,977096514.9,3487846.18,12.98,3.84,2.51,1.26,0.64,21.35,79.85,20.78,45,87719904.32,2369355089,237826433.5
奥特佳新能源科技股份有限公司,2010,0.84,4.51,-360864.61,417552695.3,0.09,10.28,9.13,6.78,61267154.09,45944419.72,7.98,13051314.61,,530088569.5,-5195738.27,,,45944419.72,3.13,1.31,363085758,480667.2,1.98,5.27,0.94,4.01,0.7,2.64,3.53,-7.57,42.54,19031129.06,576032989.2,10477091.73
云南西仪工业股份有限公司,2010,1.13,4.46,2575362.88,520960271.7,0.47,1.92,1.34,0.72,27456255.74,232210371.4,31.8,14689139.68,27215780.48,556284912.3,2328181.08,4.74,6.1,259426151.9,2.82,2.1,462768973.1,1638585.01,2.18,3.27,2.35,1.49,0.64,2.36,18.94,1.71,52.44,1657407.09,815711064.1,12400631.97
常州星宇车灯股份有限公司,2010,1.54,11.11,-536946,870769513.9,1.07,1.65,0.99,0.65,80664186.73,403101220.8,51.77,161239639.2,49811568.24,421910800.1,-935919.64,10.76,81.91,452912789.1,18.52,22.01,623854336.7,2373578.4,33,3.2,3.93,5.34,1.2,19.41,61.89,50.33,43.87,25994564.74,874823589.1,137156695.4
众泰汽车股份有限公司,2010,0.77,3.24,17323783.92,803804059.9,0.54,1.74,1.22,0.62,-70787144.58,626242940.6,35.1,53858464.51,4379506.3,1166165630,16946828.95,0.38,-3.6,630622446.9,6.7,4.12,654831473.2,2723263.23,3.79,2.75,1.59,1.2,0.47,5.93,41.68,9.34,33.3,106429061.5,1796788076,43600550.25
上海新朋实业股份有限公司,2010,0.63,4.46,-19237658,1281531848,0.09,9.76,9.36,7.05,183344886.3,200367247.6,8.37,183050992.3,,2193453100,-27720306.63,,,200367247.6,14.28,6.47,973516822.4,955928.65,7.48,11.33,0.7,3.64,0.53,14.31,8.25,-0.47,32.43,101797286.7,2393820348,157343078.7
江苏太平洋精锻科技股份有限公司,2010,1.39,4.62,13586864.87,308778153.1,1.28,0.98,0.74,0.25,27052298.66,252159214.8,56.06,85121147.07,53267901.77,239384970.8,10939384.25,18.2,2.43,305427116.6,27.57,20.69,168923686.3,1385155.4,,3.18,,1.27,0.67,32.08,41.61,42.01,,39404260.63,544812087.4,72620869.67
哈尔滨东安汽车动力股份有限公司,2010,1.07,2.92,13805929.95,2333992065,0.61,1.84,1.58,0.88,193180427.4,1098945485,37.88,134220900.4,290218995.4,2278133385,12693586.22,11.3,9.01,1389164481,5.75,3.85,2039932086,8824569.45,5.89,6.13,2.71,1.42,0.61,5.86,8.3,-7.58,54.51,,3667297866,134220900.4
浙江金固股份有限公司,2010,0.84,6.62,21572138.1,590735794.4,0.54,2.8,2.32,1.8,72433634.41,375337214.2,35.19,71716412.21,99073361.34,873755745.7,17355153.65,10.27,3.93,474410575.6,12.14,9.18,409831966,1963411.35,7.08,2.86,1.78,2.19,0.61,11.87,55.33,127.58,18.75,39215031.85,1348166321,61932251.27
上海凯众材料科技股份有限公司,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海加冷松芝汽车空调股份有限公司,2010,0.9,3.83,3561925.33,1301437474,0.3,4.28,3.65,2.75,47067925.38,464675793.3,22.8,294598956.5,61458950.48,1781648642,3267111.4,3.43,6.98,526134743.8,22.64,17.36,835468348.3,676602.26,13.22,3.48,1.41,4.76,0.76,23.73,41.42,105.33,61.19,55615294.77,2307783385,246858258.7
许昌远东传动轴股份有限公司,2010,1.06,6,-2785106.93,1014814964,0.08,10.49,9.8,7.61,23502256.28,141058919.1,7.47,218869908,6396550,1827489031,-3730484.93,0.35,5.91,147455469.1,21.57,16,660564380.5,3582401.48,10.14,7.94,1.33,2.62,0.75,23.06,64.57,176.51,31.8,88542989.93,1974944500,185177538.1
天津汽车模具股份有限公司,2010,0.7,5.61,19674402.26,831528634.1,0.68,1.89,1.33,1.05,-34788575.24,864031119.1,40.48,96946366.72,13576277.41,1290395845,16860614.11,1.04,-1.96,877607396.5,11.66,6.65,647211704.2,4479765.98,6.4,1.36,2.55,1.61,0.49,11.31,39.63,72.71,8.93,31414064.25,2168003242,82616559.03
浙江万里扬股份有限公司,2010,0.78,9.65,-6871898.55,827139656.9,0.19,5,4.33,3.6,-30104846.47,330387563.2,15.75,172976537.7,3200000,1784427018,-7154793.58,0.18,-8.15,333587563.2,20.91,10.96,608194010.1,946623.14,8.42,3.08,1.23,1.81,0.55,21.34,13.76,133.45,33.08,65748042.74,2118014581,149603868.2
广州汽车集团股份有限公司,2010,0.47,27.91,136119729,8742343934,0.48,4.64,4.32,3.7,-627537893,4223605626,32.56,5520892058,8232533368,25794054306,90478199,24.36,-1.91,12456138994,63.15,15.84,7914155205,45244345,,7.92,0.58,0.52,0.25,58.82,23.89,17.25,91.93,1810441590,38250193300,5519216707
四川西部资源控股股份有限公司,2010,0.63,3.54,625667.17,211684062.3,0.25,3.09,2.85,1.16,25720881.75,119271676.4,20.18,137333942.3,492500,473701267.6,598213.77,0.11,14.09,119764176.4,64.88,26.82,30735528.56,4315299.58,28.87,1.6,0.97,1.2,0.41,187.84,35.42,36.37,50.5,60041948.5,593465444,135024788.2
富奥汽车零部件股份有限公司,2010,0.03,,6659901.63,1480358.31,,0.03,0.03,0,201207.05,2177242069,2945.4,-388775880,,-2103321979,6655374.74,,0.03,2177242069,-26262.28,-659.9,,2882600,,,,0.22,0.03,,-20.15,76.46,59.82,,73920089.84,-388775880
上海保隆汽车科技股份有限公司,2010,2.19,8.15,12370286.06,760739711.2,0.92,1.56,0.87,0.36,70353349.07,250801609.5,47.81,97881644.8,18629052.29,294087720.9,,6.84,,269430661.8,12.87,22.07,493192930.4,2631394.8,,3.2,7.04,4.99,1.52,10.53,64.45,29.33,,38373985.62,563518382.7,70095560.01
长春一汽富维汽车零部件股份有限公司,2011,4.4,16.74,8778914.91,6981418659,0.41,1.51,1.07,0.61,197012137.5,1163302266,28.93,522942650.9,30023279.66,2931782161,7103527.65,1.16,19.86,1193325546,7.49,13.76,6525105628,17187476.03,16.79,13.26,13.72,3.08,1.81,7.48,12.92,15.2,20.14,35324929.86,4125107707,510204216.1
宁波均胜电子股份有限公司,2011,1.87,4.05,16882727.03,1462179589,1.05,1.15,0.92,0.29,209230752.8,676289420.6,51.25,213916639.4,25267772.15,667358315.5,11667152.64,4.28,17.23,701557192.8,14.63,16.48,1161743645,5366214.2,26.82,7.2,,,1.07,14.19,29.96,21.75,54.39,64989581.95,1368915508,176888123.5
安徽江淮汽车集团股份有限公司,2011,4.02,104.6,-86448073.71,30470833703,1.5,0.86,0.68,0.58,-728444032.5,7915285441,60.08,706189263.4,937491553.1,5883262766,-61898244.52,14.08,-15.98,8852776994,2.32,4.26,26438085821,724932534.2,10.79,15.35,,4.03,2.01,2.14,2.58,-5.14,34.76,804267719.6,14736039759,624935979.5
合肥常青机械股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津一汽夏利汽车股份有限公司,2011,3.17,240.81,74873750.45,9953740484,1.49,0.6,0.44,0.33,-807405077.9,4772965383,59.78,125385701.9,723714430.2,3697464415,69284072.92,16.48,-9.28,5496679813,1.26,2.13,9504098672,201585217,2.98,12.36,,1.66,1.09,1.04,0.63,1.26,47.73,310259495.3,9194144228,112708290.6
宁波圣龙汽车动力系统股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北汽福田汽车股份有限公司,2011,3.51,44.01,173214756.6,51645734938,2.09,0.97,0.56,0.34,-524971443.6,14167743631,67.67,1342252534,4861590787,9092119890,147191442.2,35.46,-1.96,19029334418,2.6,5.65,46952853925,185267228.5,13.03,7.49,47.66,4.43,1.96,2.29,-3.45,14.12,32.76,2792825691,28121454308,1152389085
郑州宇通客车股份有限公司,2011,3.35,11.79,9264794.95,16931925945,1.35,1.31,1.04,0.32,1446257946,4176674501,57.54,1353324480,345631658.7,3337764989,-10995042.3,9.4,459.28,4522306159,7.99,18.32,13850380882,82419950.22,35.44,11.8,17.72,7.44,2.31,7.64,24.36,9.78,33,492652528.8,7860071148,1182380360
上海汽车集团股份有限公司,2011,2.58,56.05,42775595.66,4.33E+11,1.39,1.18,1,0.7,20209343887,1.63E+11,58.22,42028162787,23004061913,1.33E+11,30035004.78,18.35,26.66,1.86E+11,9.67,15.36,3.52E+11,11054303145,19.76,14.84,20.71,4.13,1.59,8.88,18.66,11.78,74.3,8192067057,3.19E+11,34989631033
浙江跃岭股份有限公司,2011,2.88,10.04,-172845.07,865580581.8,0.79,1.29,0.95,0.51,138145463.4,245651765,44.27,102644835.4,10311552.61,322239612.6,6526144.36,3.1,18.41,255963317.6,11.86,22.03,679578195.1,5100268.72,27.54,8.09,12.76,4.43,1.75,11.7,24.08,40.05,,114370595.1,578202930.2,88734283.82
浙江万丰奥威汽轮股份有限公司,2011,3.37,7.26,31461691.43,3933460639,0.44,2.3,1.84,0.63,297297090.9,639295673.9,30.41,333312711,142343622.1,1788498275,4266778.94,8.8,25.26,781639296,8.47,16.36,3287613157,15624850.47,15.17,15.02,6.58,4.39,1.91,8.03,9.82,4.73,58.35,112753424.9,2570137571,290405746.2
一汽轿车股份有限公司,2011,2.85,394.52,19134148.95,32652673334,0.95,1.37,1.06,0.94,-559631805.4,7505937171,48.6,190497679.4,404520877.5,8365340207,15732764.81,4.63,-11.08,7910458049,0.58,1.21,27268251900,1561442563,2.39,12.93,9.44,5.92,1.92,0.53,-12.6,-7.91,53.03,594516271.4,16275798256,163227293.3
东风电子科技股份有限公司,2011,2.29,4.59,19321938,2584544875,1.4,1.02,0.83,0.36,207815611,1189800273,58.29,203260419.8,,851486834,18078280.5,,11.03,1189800273,7.86,11.92,2143511818,12623282.1,22.06,12,104.04,3.56,1.39,7.05,12.05,22.02,65,72511214.96,2041287107,173631429.8
比亚迪股份有限公司,2011,2.51,8.97,771296000,48826919000,1.74,0.64,0.44,0.25,5984526000,33370934000,63.46,1727484000,8273322000,23980136000,687440000,28.14,5.59,41644256000,3.54,4.07,40438789000,969714000,6.55,6.16,,1.23,0.82,3.43,0.78,23.91,24.24,5325171000,65624392000,1595076000
海南钧达汽车饰件股份有限公司,2011,2.29,6.76,5055615.25,614439245,1.61,0.75,0.49,0.17,127429665.6,356338397.3,61.65,99934761.55,,221670805.7,,,,356338397.3,16.26,18.16,428459125.6,4198517.89,33.85,4.63,,,1.06,14.62,,,,29692657.05,578009203,74758474.76
宁波拓普集团股份有限公司,2011,2.1,6.08,11028608.76,1691998602,0.9,1.05,0.61,0.16,215514768.7,766571274.2,47.33,250450200.8,,852909611.4,,,,766571274.2,14.8,16.15,1251293156,6709682.85,24.1,3.7,,,1.04,14.09,,,,106410119.8,1619480886,206074807.6
江铃汽车股份有限公司,2011,2.17,73.52,-167575796,17456998864,0.59,1.9,1.63,1.51,1147508348,4193492438,37.16,2127250895,199241958,7427120333,-123301186,2.65,2362.09,4392734396,12.19,17.38,13143861295,513922378,25.59,10.2,4.91,4.99,1.51,12.76,10.71,5.18,41.03,293300967,11819854729,1900830822
浙江正裕工业股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波华翔电子股份有限公司,2011,1.46,10.02,-3888668.67,3682431442,0.43,1.96,1.45,1.08,310197248.8,1300122292,29.98,430913866.7,10860522.17,3061352821,-7634873.65,0.4,47.07,1310982814,11.7,10.06,2895754063,17094097.83,10.57,4.72,2.76,2.18,0.88,11.27,10.48,8.09,16.26,173326372.3,4372335635,379010698.5
华达汽车科技股份有限公司,2011,1.91,8.07,10722029.44,1249265097,1.03,1.54,0.81,0.29,110298926.5,424472587.9,50.68,120082496,,413149568.2,,,,424472587.9,9.61,15.62,1018389437,3885138.91,25,3.25,,,1.49,9.16,,,,22749754.63,837622156.1,103304541.6
上海联明机械股份有限公司,2011,1.96,10.08,3285685.21,324940954.1,0.57,1.64,1.06,0.37,56901238.53,106216123.8,36.23,71213668.48,18960000,220339861.9,3270294.9,7.92,16.05,125176123.8,21.92,23.37,229262713.4,1255758.06,24.12,3.88,5.93,2.12,1.02,20.97,10.41,18.37,,42934631.82,345515985.7,53150812.08
华域汽车系统股份有限公司,2011,2.07,7.39,-82860777.27,52298780652,0.83,1.57,1.36,0.81,4632871071,17453261613,45.28,5943010393,1649992306,23081622030,-131496510.6,9.06,87.34,19103253918,11.36,14.89,43786547657,122324220.5,18.05,12.15,5.87,3.81,1.34,11.12,16.67,14.86,60.1,851043209.9,42184875948,5345864245
长城汽车股份有限公司,2011,1.71,59.8,-22934689.66,30089476665,0.95,1.38,1.2,1.07,4448742617,14713538189,48.63,4130651319,1399815783,17021503744,-59330381.47,7.72,620,16113353972,13.73,14.33,22593797877,1052324860,20.47,9.26,7,2.78,1.06,14.02,30.9,39.82,56.04,1869266219,33134857715,3510652885
江苏奥力威传感高科股份有限公司,2011,2.02,9.44,1542896.05,314191764.9,0.72,2.15,1.52,0.61,23716237.27,79273837.34,41.79,42217291.44,5056247.38,117488205.3,,4.17,,84330084.72,13.44,24.1,243515250.5,1166924.13,31.33,5.22,3.79,11.95,1.73,13.4,22.41,25.1,,1220333.37,201818290,36422291.17
浙江今飞凯达轮毂股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆蓝黛动力传动机械股份有限公司,2011,2.26,5.75,19305343.29,791612643.6,1.22,1.04,0.65,0.22,56941333.08,337956486.4,55.03,129022261.8,138366800,389200456.8,,26.23,,476323286.4,16.3,17.14,587198430,2236276.49,28.1,4.55,,,0.91,16.43,,,,93597069.49,865523743.2,109352700.5
上海北特科技股份有限公司,2011,1.83,5.7,7719209.67,364808997,1.27,1.02,0.67,0.07,-9595945.32,207138737.9,55.86,49726596.4,5262001.65,167807176.1,7488185.78,3.16,-1.24,212400739.5,13.63,16.95,276354575.3,1082592.66,25.07,4.46,27.88,2.64,1.08,13.37,32.03,28.92,,23900297.54,380207915.6,42345680.49
上海保隆汽车科技股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海岱美汽车内饰件股份有限公司,2011,1.56,5.21,34027666.08,1252655101,1.12,1.32,0.74,0.28,86392969.42,608227577,52.75,233174119.8,72356264.4,609580071.3,,10.74,,680583841.4,18.61,20.71,815518539,3668668.83,29.15,2.29,,,0.97,16.88,,,,149628287,1290163913,176012095.8
重庆长安汽车股份有限公司,2011,1.65,58.37,-184033937.8,26551846548,1.49,0.77,0.57,0.52,207217572.6,20352830064,59.9,948631572.1,1530662279,14648625773,-191337705.4,9.41,20.06,21883492343,3.57,2.26,22626040612,537733641.7,6.57,6.77,,1.53,0.79,3.44,-20.8,17.88,43.33,1822099425,36532118116,925649313.3
广东鸿图科技股份有限公司,2011,1.6,3.61,19035519.22,1288363098,0.69,1.35,1.06,0.36,123175678.8,604182165.8,40.93,99271953.15,27500000,911745453.2,12989006.16,2.93,8.24,631682165.8,7.71,7.84,988730443.5,5490158.6,9.69,6.46,4.19,2.06,0.9,7.43,44.1,17.03,19.54,58764168.67,1543427619,88336544.78
厦门金龙汽车集团股份有限公司,2011,1.76,5.3,-16459791.97,18924916397,2.94,1.18,0.96,0.51,212512840.5,9434487150,74.6,579044742.9,473646984.4,3372751338,-89437118.39,19.67,12.21,9908134134,3.06,3.81,16671637209,103033371.6,13.39,8.17,13.02,9.01,1.47,2.72,17.14,6.85,13.52,201962006.9,13280885473,496569337.3
浙江亚太机电股份有限公司,2011,1.47,4.83,25302984.16,1851123046,0.95,1.38,1.05,0.61,16502363.45,938376826.9,48.76,92036791.9,91652261.71,1082533539,27184104.02,8.08,0.49,1030029089,4.97,6.05,1558928245,5143507.16,7.66,5.91,4.26,2.6,0.94,4.74,5.77,15.54,49.85,148781951,2112562627,84109184.22
广东鸿特科技股份有限公司,2011,1.54,4.87,12590764.6,531368074,0.59,1.61,1.23,0.5,27406472.19,266282901.4,37.2,36023496.88,40718000.02,518266242.6,7500224.65,7.28,3.01,307000901.4,6.78,6.66,407494643.3,2738133.46,6.07,5.17,5.34,1.73,0.81,6.39,37.58,71.54,29.23,14201157.29,825267144,31448205.82
常州腾龙汽车零部件股份有限公司,2011,1.43,3.71,11342589.4,325759797.9,1.24,1.16,0.79,0.28,31004483.5,196590848.5,55.39,51810192.11,,158306317.7,,,,196590848.5,15.9,17.79,214817094.7,1268822.7,29.43,3,,,0.92,16.12,,,,29392119.72,354897166.2,44112169.39
绵阳富临精工机械股份有限公司,2011,1.39,3.66,1260331.06,281986826,1.36,1.25,0.89,0.38,22108706.95,162967689.8,57.58,48583512.58,3134660.92,122369195.3,,2.5,,166102350.7,17.23,17.28,201333153.3,1846324.28,33.39,3.51,,,0.98,17.55,,,,10572454.83,288471546,40857022.16
宁波高发汽车控制系统股份有限公司,2011,1.49,4.34,4397353.25,274272070.6,0.54,1.99,1.58,0.85,38277584.21,92300655.81,34.91,55063773.59,927333.29,173861314.3,4115214.67,0.53,9.09,93227989.1,20.08,22.16,185325719.3,1916642.5,27.17,4.91,,,1.03,21.61,,,,22952226.75,267089303.4,47245644.43
重庆小康工业集团股份有限公司,2011,1.6,38.15,-31154500,9730071500,3.7,0.81,0.7,0.58,,6342186800,78.72,718184400,573660600,1869050600,-46828606.25,28.98,,6915847500,7.38,7.4,7731897900,124359300,34.44,10.84,,3.25,1.07,6.56,8.39,-6.21,,623861400,8784898000,585114200
